well,t,t_red,t_RON_t_GON,t_RON_tdiv,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_gap,t_div_to_green_on,t_green_on_t_div,t_green,t_green_off_t_div,start,redOn,redOff,greenOn,greenOff,end,type,div,position,col,row
2,8.9,1.35,1.7,7.75,1.15,2.5,6.4,0.35,2.85,6.05,6,0.05,22.45,23.6,24.95,25.3,31.3,31.35,D,1,10,5,4
2,8.7,1.35,1.75,7.55,1.15,2.5,6.2,0.4,2.9,5.8,5.75,0.05,22.45,23.6,24.95,25.35,31.1,31.15,D,1,10,5,4
2,17,4,2.4,15.95,1.05,5.05,11.95,-1.6,3.45,13.55,13.5,0.05,21.35,22.4,26.4,24.8,38.3,38.35,D,1,10,2,4
2,14.8,4.1,2.9,13.75,1.05,5.15,9.65,-1.2,3.95,10.85,10.8,0.05,21.35,22.4,26.5,25.3,36.1,36.15,D,1,10,2,4
2,13.5,2.3,1.7,12.05,1.45,3.75,9.75,-0.6,3.15,10.35,10.3,0.05,26.8,28.25,30.55,29.95,40.25,40.3,D,1,11,3,2
2,13.1,3.55,1.1,11.65,1.45,5,8.1,-2.45,2.55,10.55,10.55,0,26.8,28.25,31.8,29.35,39.9,39.9,D,1,11,3,2
2,10.85,2,1.45,9.55,1.3,3.3,7.55,-0.55,2.75,8.1,8.1,0,23.2,24.5,26.5,25.95,34.05,34.05,D,1,11,2,2
2,10.65,2.3,1.15,9.35,1.3,3.6,7.05,-1.15,2.45,8.2,8.2,0,23.2,24.5,26.8,25.65,33.85,33.85,D,1,11,2,2
2,11.2,2.6,1.3,10,1.2,3.8,7.4,-1.3,2.5,8.7,8.7,0,33.35,34.55,37.15,35.85,44.55,44.55,D,1,11,1,1
2,11.65,2.6,1.6,10.35,1.3,3.9,7.75,-1,2.9,8.75,8.75,0,33.35,34.65,37.25,36.25,45,45,D,1,11,1,1
2,13.75,3.3,1.15,12.85,0.9,4.2,9.55,-2.15,2.05,11.7,11.65,0.05,35.65,36.55,39.85,37.7,49.35,49.4,D,1,13,2,2
2,13.65,3.85,1.3,12.65,1,4.85,8.8,-2.55,2.3,11.35,11.35,0,35.65,36.65,40.5,37.95,49.3,49.3,D,1,13,2,2
2,7.6,0.4,1.1,6.45,1.15,1.55,6.05,0.7,2.25,5.35,5.3,0.05,36.3,37.45,37.85,38.55,43.85,43.9,D,1,13,2,4
2,8,0.15,0.75,6.7,1.3,1.45,6.55,0.6,2.05,5.95,5.9,0.05,36.3,37.6,37.75,38.35,44.25,44.3,D,1,13,2,4
2,10.2,2.3,2.15,9.15,1.05,3.35,6.85,-0.15,3.2,7,6.85,0.15,28.85,29.9,32.2,32.05,38.9,39.05,D,1,25,5,1
2,8.95,1.6,1.9,7.65,1.3,2.9,6.05,0.3,3.2,5.75,5.6,0.15,28.85,30.15,31.75,32.05,37.65,37.8,D,1,25,5,1
2,12.7,2.25,2.8,11.05,1.65,3.9,8.8,0.55,4.45,8.25,8.2,0.05,27.35,29,31.25,31.8,40,40.05,D,1,25,3,3
2,12.9,2.9,3.05,11.25,1.65,4.55,8.35,0.15,4.7,8.2,8.15,0.05,27.35,29,31.9,32.05,40.2,40.25,D,1,25,3,3
2,13.9,2.3,1.8,12.15,1.75,4.05,9.85,-0.5,3.55,10.35,10.3,0.05,32.85,34.6,36.9,36.4,46.7,46.75,D,1,25,4,4
2,14.7,2.95,2.1,12.85,1.85,4.8,9.9,-0.85,3.95,10.75,10.7,0.05,32.85,34.7,37.65,36.8,47.5,47.55,D,1,25,4,4
2,9,0.2,0.45,7.25,1.75,1.95,7.05,0.25,2.2,6.8,6.8,0,24.85,26.6,26.8,27.05,33.85,33.85,D,1,31,2,3
2,9.4,0.7,0.6,7.65,1.75,2.45,6.95,-0.1,2.35,7.05,7,0.05,24.85,26.6,27.3,27.2,34.2,34.25,D,1,31,2,3
2,12.45,1.65,1.45,10.65,1.8,3.45,9,-0.2,3.25,9.2,9.15,0.05,17.45,19.25,20.9,20.7,29.85,29.9,D,1,31,4,4
2,11.65,0.6,1.5,9.75,1.9,2.5,9.15,0.9,3.4,8.25,8.2,0.05,17.45,19.35,19.95,20.85,29.05,29.1,D,1,31,4,4
2,12.35,2.35,1.4,10.8,1.55,3.9,8.45,-0.95,2.95,9.4,9.35,0.05,24.8,26.35,28.7,27.75,37.1,37.15,D,1,32,3,2
2,11.6,1.75,1.2,9.95,1.65,3.4,8.2,-0.55,2.85,8.75,8.75,0,24.8,26.45,28.2,27.65,36.4,36.4,D,1,32,3,2
2,13.2,2.15,1.05,11.85,1.35,3.5,9.7,-1.1,2.4,10.8,10.8,0,33.75,35.1,37.25,36.15,46.95,46.95,D,1,34,4,1
2,13.75,2.1,1,12.3,1.45,3.55,10.2,-1.1,2.45,11.3,11.25,0.05,33.75,35.2,37.3,36.2,47.45,47.5,D,1,34,4,1
2,10.5,2,1,9.65,0.85,2.85,7.65,-1,1.85,8.65,8.6,0.05,32.5,33.35,35.35,34.35,42.95,43,D,1,45,3,3
2,10.15,2.45,0.9,9.2,0.95,3.4,6.75,-1.55,1.85,8.3,8.3,0,32.5,33.45,35.9,34.35,42.65,42.65,D,1,45,3,3
2,12.25,2.75,0.9,10.9,1.35,4.1,8.15,-1.85,2.25,10,10,0,26.7,28.05,30.8,28.95,38.95,38.95,D,1,45,2,2
2,11.45,2.05,0.75,9.95,1.5,3.55,7.9,-1.3,2.25,9.2,9.2,0,26.7,28.2,30.25,28.95,38.15,38.15,D,1,45,2,2
2,14.45,2.75,2.95,13.05,1.4,4.15,10.3,0.2,4.35,10.1,10.05,0.05,30.25,31.65,34.4,34.6,44.65,44.7,D,1,46,5,3
2,13.4,2.6,2.85,11.95,1.45,4.05,9.35,0.25,4.3,9.1,9.05,0.05,30.25,31.7,34.3,34.55,43.6,43.65,D,1,46,5,3
2,13.8,4.75,2.8,12.65,1.15,5.9,7.9,-1.95,3.95,9.85,9.85,0,29.85,31,35.75,33.8,43.65,43.65,D,1,46,2,4
2,13.35,2.85,1.6,12.05,1.3,4.15,9.2,-1.25,2.9,10.45,10.45,0,29.85,31.15,34,32.75,43.2,43.2,D,1,46,2,4
2,8.2,0.7,1,6.95,1.25,1.95,6.25,0.3,2.25,5.95,5.9,0.05,11.6,12.85,13.55,13.85,19.75,19.8,D,1,52,3,4
2,9.1,0.4,0.55,7.4,1.7,2.1,7,0.15,2.25,6.85,6.8,0.05,11.6,13.3,13.7,13.85,20.65,20.7,D,1,52,3,4
2,13.05,1.25,0.85,11.1,1.95,3.2,9.85,-0.4,2.8,10.25,10.25,0,21.5,23.45,24.7,24.3,34.55,34.55,D,1,53,2,1
2,13.95,1.7,1,12,1.95,3.65,10.3,-0.7,2.95,11,11,0,21.5,23.45,25.15,24.45,35.45,35.45,D,1,53,2,1
2,16.05,2.1,1,14.5,1.55,3.65,12.4,-1.1,2.55,13.5,13.5,0,18.2,19.75,21.85,20.75,34.25,34.25,D,1,53,4,3
2,15.45,1.7,0.9,13.9,1.55,3.25,12.2,-0.8,2.45,13,12.95,0.05,18.2,19.75,21.45,20.65,33.6,33.65,D,1,53,4,3
2,9.1,1.15,1.85,7.65,1.45,2.6,6.5,0.7,3.3,5.8,5.75,0.05,21.1,22.55,23.7,24.4,30.15,30.2,D,1,53,1,4
2,8.85,1.4,1.5,7.2,1.65,3.05,5.8,0.1,3.15,5.7,5.65,0.05,21.1,22.75,24.15,24.25,29.9,29.95,D,1,53,1,4
2,12.1,2.7,1.65,11.25,0.85,3.55,8.55,-1.05,2.5,9.6,9.55,0.05,23.8,24.65,27.35,26.3,35.85,35.9,D,1,53,3,4
2,12,2.85,1.85,11.15,0.85,3.7,8.3,-1,2.7,9.3,9.3,0,23.8,24.65,27.5,26.5,35.8,35.8,D,1,53,3,4
2,10.1,2.4,0.4,9.2,0.9,3.3,6.8,-2,1.3,8.8,8.8,0,18.1,19,21.4,19.4,28.2,28.2,D,1,53,3,2
2,9.6,1.95,0.3,8.45,1.15,3.1,6.5,-1.65,1.45,8.15,8.15,0,18.1,19.25,21.2,19.55,27.7,27.7,D,1,53,3,2
2,6.9,0,0,0,0,0,0,0,1.75,5.15,5.15,0,35.2,0,0,36.95,42.1,42.1,D,1,55,2,1
2,7.45,0,0,0,0,0,0,0,1.8,5.65,5.65,0,35.2,0,0,37,42.65,42.65,D,1,55,2,1
2,11.8,3.25,2.35,10.8,1,4.25,7.55,-0.9,3.35,8.45,8.45,0,30.35,31.35,34.6,33.7,42.15,42.15,D,1,55,3,2
2,12.25,3.2,1.45,11,1.25,4.45,7.8,-1.75,2.7,9.55,9.55,0,30.35,31.6,34.8,33.05,42.6,42.6,D,1,55,3,2
2,19.75,4.45,3.35,18.15,1.6,6.05,13.7,-1.1,4.95,14.8,14.8,0,21,22.6,27.05,25.95,40.75,40.75,D,1,58,1,1
2,18.05,5.65,3.25,16.4,1.65,7.3,10.75,-2.4,4.9,13.15,13.15,0,21,22.65,28.3,25.9,39.05,39.05,D,1,58,1,1
2,11.9,1.65,1.35,10.5,1.4,3.05,8.85,-0.3,2.75,9.15,9.15,0,27.25,28.65,30.3,30,39.15,39.15,D,1,58,3,3
2,12.3,1.5,1.5,10.85,1.45,2.95,9.35,0,2.95,9.35,9.35,0,27.25,28.7,30.2,30.2,39.55,39.55,D,1,58,3,3
2,15.55,5.6,3.2,14.35,1.2,6.8,8.75,-2.4,4.4,11.15,11.15,0,21.1,22.3,27.9,25.5,36.65,36.65,D,1,6,4,1
2,14.9,5.25,3.45,13.45,1.45,6.7,8.2,-1.8,4.9,10,10,0,21.1,22.55,27.8,26,36,36,D,1,6,4,1
2,17.95,3.7,1.65,17.25,0.7,4.4,13.55,-2.05,2.35,15.6,15.6,0,30.1,30.8,34.5,32.45,48.05,48.05,D,1,6,1,2
2,15.3,4.6,2.05,14.6,0.7,5.3,10,-2.55,2.75,12.55,12.55,0,30.1,30.8,35.4,32.85,45.4,45.4,D,1,6,1,2
2,24.4,6.7,6.45,22.55,1.85,8.55,15.85,-0.25,8.3,16.1,16.1,0,23.2,25.05,31.75,31.5,47.6,47.6,D,1,6,3,4
2,18.4,4.3,5,16.45,1.95,6.25,12.15,0.7,6.95,11.45,11.4,0.05,23.2,25.15,29.45,30.15,41.55,41.6,D,1,6,3,4
2,13,1.15,1.15,11.5,1.5,2.65,10.35,0,2.65,10.35,10.35,0,21.95,23.45,24.6,24.6,34.95,34.95,D,1,60,2,2
2,12.25,0.8,0.5,10.3,1.95,2.75,9.5,-0.3,2.45,9.8,9.8,0,21.95,23.9,24.7,24.4,34.2,34.2,D,1,60,2,2
2,11.95,1.9,3.15,10.5,1.45,3.35,8.6,1.25,4.6,7.35,7.35,0,25.45,26.9,28.8,30.05,37.4,37.4,D,1,73,4,1
2,12.7,3.7,3.95,11.25,1.45,5.15,7.55,0.25,5.4,7.3,7.3,0,25.45,26.9,30.6,30.85,38.15,38.15,D,1,73,4,1
