t,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_red,t_div_to_green_on,t_green_on_t_div,t_green,t_gap,prop_not_green,t_RON_t_GON,t_RON_tdiv,id,start,redOn,redOff,greenOn,greenOff,end,t_red_mid,t_green_mid,t_mid,t_green_off_t_div,t_div_to_red_on_mid,t_green_off_t_div_mid,t_green_on_t_div_mid,t_red_off_t_div_mid,t_gap_mid,t_div_to_red_off_mid,t_div_to_green_on_mid,t_RON_t_GON_mid,t_RON_tdiv_mid,prop_not_green_mid,type,div,n,well,cellnum,daughter,sister,position,row,col
15.333364,1.666670,8.500017,6.833347,6.833347,1.666670,13.666694,13.666694,-6.833347,0.331522,0.000000,13.666694,000010,29.166725,30.833395,37.666742,30.833395,44.500089,44.500089,5.083343,8.500017,7.666682,0.000000,0.833335,15.333364,8.500017,11.916690,5.083343,4.250008,0.833335,0.000000,8.500017,2.541672,D,1.000000,92.000000,2.000000,1.000000,3.0000004.000000,1.000000,1.000000,1.000000,2.000000
10.166687,0.500001,4.666676,5.500011,4.166675,2.666672,7.500015,7.500015,-2.000004,0.360656,2.166671,9.666686,000020,29.833393,30.333394,34.500069,32.500065,40.000080,40.000080,2.583339,6.416680,5.083344,0.000000,0.250000,10.166687,6.416680,7.416682,3.666674,2.333338,1.333336,1.583337,5.333344,1.833337,D,1.000000,61.000000,2.000000,2.000000,6.0000007.000000,8.000000,1.000000,2.000000,8.000000
12.166691,1.333336,4.833343,7.333348,3.500007,3.666674,8.500017,8.500017,-1.166669,0.349315,2.333338,10.833355,000021,29.833393,31.166729,34.666736,33.500067,42.000084,42.000084,3.083340,7.916683,6.083346,0.000000,0.666668,12.166691,7.916683,8.500017,4.250008,2.416671,1.833337,2.500005,6.750014,2.125004,D,1.000000,73.000000,2.000000,2.000000,9.00000010.000000,5.000000,1.000000,2.000000,8.000000
11.166689,0.833335,4.166675,7.000014,3.333340,0.833335,10.333354,10.333354,-3.333340,0.223881,0.000000,10.333354,000030,36.000072,36.833407,40.166747,36.833407,47.166761,47.166761,2.500005,6.000012,5.583344,0.000000,0.416668,0.000000,6.000012,7.666682,2.500005,2.083337,0.416668,0.000000,6.000012,1.250003,D,1.000000,67.000000,2.000000,3.000000,12.00000013.000000,14.000000,1.000000,4.000000,1.000000
12.666692,2.166671,4.000008,8.666684,1.833337,2.166671,10.500021,10.500021,-1.833337,0.243421,0.000000,10.500021,000031,36.000072,38.166743,40.000080,38.166743,48.666764,48.666764,3.083340,7.416681,6.333346,0.000000,1.083336,0.000000,7.416681,8.333350,3.083340,2.000004,1.083336,0.000000,7.416681,1.541670,D,1.000000,76.000000,2.000000,3.000000,15.00000016.000000,11.000000,1.000000,4.000000,1.000000
9.500019,1.000002,3.000006,6.500013,2.000004,1.500003,8.000016,7.833349,-1.500003,0.236842,0.500001,8.500017,000041,35.500071,36.500073,38.500077,37.000074,44.833423,45.000090,2.000004,5.416677,4.750009,0.166667,0.500001,9.416685,5.500011,6.250012,2.250005,1.500003,0.750001,1.250002,5.250010,1.125002,D,1.000000,57.000000,2.000000,4.000000,18.00000019.000000,20.000000,1.000000,5.000000,2.000000
8.166683,0.666668,4.500009,3.666674,3.833341,1.166669,7.000014,6.833347,-3.333340,0.346939,0.500001,7.500015,000050,29.333392,30.000060,33.833401,30.500061,37.333408,37.500075,2.583338,4.583343,4.083341,0.166667,0.333334,8.083349,4.666676,6.333346,2.833339,2.250004,0.583334,0.916669,4.416675,1.416669,D,1.000000,49.000000,2.000000,5.000000,22.00000023.000000,24.000000,1.000000,6.000000,1.000000
8.666684,0.833335,3.666674,5.000010,2.833339,1.666670,7.000014,7.000014,-2.000004,0.307692,0.833335,7.833349,000051,29.333392,30.166727,33.000066,31.000062,38.000076,38.000076,2.250004,5.166677,4.333342,0.000000,0.416667,8.666684,5.166677,6.166679,2.666672,1.833337,0.833335,1.250003,4.750009,1.333336,D,1.000000,52.000000,2.000000,5.000000,25.00000026.000000,21.000000,1.000000,6.000000,1.000000
8.833351,1.333336,1.500003,7.333348,0.166667,1.666670,7.166681,7.166681,0.166667,0.179245,0.333334,7.500015,000070,29.666726,31.000062,31.166729,31.333396,38.500077,38.500077,1.416670,5.250010,4.416676,0.000000,0.666668,0.000000,5.250010,5.166677,1.583336,0.750001,0.833335,1.500003,5.083344,0.791668,D,1.000000,53.000000,2.000000,7.000000,35.00000036.000000,31.000000,2.000000,1.000000,3.000000
10.000020,1.500003,4.500009,5.500011,3.000006,2.666672,7.333348,7.333348,-1.833337,0.358333,1.166669,8.500017,000080,38.000076,39.500079,42.500085,40.666748,48.000096,48.000096,3.000006,6.333346,5.000010,0.000000,0.750002,10.000020,6.333346,7.250014,3.583341,2.250005,1.333336,2.083338,5.750011,1.791670,D,1.000000,60.000000,2.000000,8.000000,38.00000039.000000,40.000000,2.000000,1.000000,7.000000
